5,1279,95%,0,100%,1285,99%,mcs2x1,1443,98%
5,891,71%,0,100%,1050,99%,mcs2x1,1211,98%
5,979,98%,0,100%,1380,100%,mcs2x1,1437,98%
5,1056,98%,0,100%,1511,99%,mcs2x1,1682,96%
5,875,99%,0,100%,1306,100%,mcs2x1,1321,100%
5,891,71%,0,100%,65535,0%,mcs2x1,65535,0%
5,2270,97%,0,100%,3255,99%,mcs2x1,3641,96%
5,861,72%,0,100%,1290,100%,mcs2x1,65535,0%
5,793,98%,0,100%,1229,100%,mcs2x1,1183,100%
5,891,72%,0,100%,1299,98%,mcs2x1,1356,99%
5,866,98%,0,100%,1176,100%,mcs2x1,1143,99%
5,1166,96%,0,100%,1301,100%,mcs2x1,1320,99%
5,1423,97%,0,100%,1963,98%,mcs2x1,2071,98%
5,900,99%,0,100%,1287,99%,mcs2x1,1368,99%
5,1163,99%,0,100%,2146,100%,mcs2x1,1917,99%
10,3041,99%,0,100%,3039,100%,mcs2x1,2975,99%
10,922,99%,0,100%,1392,100%,mcs2x1,1348,99%
10,827,99%,0,100%,1247,100%,mcs2x1,1201,100%
10,955,98%,0,100%,1282,100%,mcs2x1,1200,99%
10,759,98%,0,100%,1125,99%,mcs2x1,1078,98%
10,1530,96%,0,100%,2122,99%,mcs2x1,1940,98%
10,1056,96%,0,100%,1125,98%,mcs2x1,1615,84%
10,953,69%,0,100%,1152,99%,mcs2x1,1091,99%
10,65535,0%,0,100%,65535,0%,mcs2x1,65535,0%
10,1421,98%,0,100%,1402,99%,mcs2x1,1292,99%
10,874,100%,0,100%,1256,100%,mcs2x1,1186,99%
10,936,99%,0,100%,1437,99%,mcs2x1,1484,99%
10,59382,14%,0,100%,56163,10%,mcs2x1,31779,5%
10,945,98%,0,100%,1468,98%,mcs2x1,1616,99%
10,761,99%,0,100%,1069,100%,mcs2x1,1061,100%
20,941,96%,0,100%,1130,99%,mcs2x1,1232,97%
20,1064,96%,0,100%,1135,98%,mcs2x1,1124,99%
20,1417,94%,0,100%,1673,98%,mcs2x1,1654,76%
20,929,98%,0,100%,1310,100%,mcs2x1,1239,99%
20,1895,94%,0,100%,2009,98%,mcs2x1,2042,97%
20,615,83%,0,100%,1146,99%,mcs2x1,1130,99%
20,738,78%,0,100%,1182,100%,mcs2x1,1138,100%
20,652,98%,0,100%,992,100%,mcs2x1,1050,100%
20,4538,81%,0,100%,4190,90%,mcs2x1,5257,83%
20,1382,99%,0,100%,3072,95%,mcs2x1,2357,100%
20,864,99%,0,100%,1292,100%,mcs2x1,1288,99%
20,734,100%,0,100%,1072,100%,mcs2x1,1017,99%
20,1329,94%,0,100%,1500,99%,mcs2x1,1578,98%
20,1201,96%,0,100%,1341,91%,mcs2x1,1335,98%
20,768,77%,0,100%,1838,99%,mcs2x1,1571,98%
30,2506,92%,0,100%,3946,97%,mcs2x1,3539,95%
30,1988,92%,0,100%,2510,86%,mcs2x1,2853,94%
30,1641,96%,0,100%,2271,99%,mcs2x1,2691,93%
30,1064,97%,0,100%,1417,99%,mcs2x1,1564,98%
30,2411,88%,0,100%,2362,99%,mcs2x1,2576,97%
30,3165,99%,0,100%,3145,99%,mcs2x1,3286,98%
30,934,99%,0,100%,1489,100%,mcs2x1,1416,99%
30,2446,98%,0,100%,2260,100%,mcs2x1,2233,96%
30,1910,89%,0,100%,1995,86%,mcs2x1,2627,89%
30,1180,96%,0,100%,1472,98%,mcs2x1,1308,98%
30,1045,94%,0,100%,1085,100%,mcs2x1,1015,100%
30,686,98%,0,100%,784,98%,mcs2x1,928,98%
30,748,99%,0,100%,1189,100%,mcs2x1,1059,99%
30,1525,97%,0,100%,1844,99%,mcs2x1,2088,97%
30,3253,98%,0,100%,3242,99%,mcs2x1,3076,99%
40,1070,98%,0,100%,1711,100%,mcs2x1,1551,98%
40,2420,96%,0,100%,3062,100%,mcs2x1,3231,96%
40,964,98%,0,100%,1456,100%,mcs2x1,1339,98%
40,3395,98%,0,100%,3040,100%,mcs2x1,3694,95%
40,2135,90%,0,100%,2847,98%,mcs2x1,2912,96%
40,902,98%,0,100%,1412,100%,mcs2x1,1261,98%
40,3920,8%,0,100%,1958,98%,mcs4x1,2243,96%
40,3830,95%,0,100%,5798,100%,mcs2x1,7622,98%
40,888,98%,0,100%,1269,99%,mcs2x1,1180,99%
40,710,98%,0,100%,1139,100%,mcs2x1,1104,99%
40,1021,98%,0,100%,1508,99%,mcs2x1,1556,96%
40,600,100%,0,100%,904,99%,mcs2x1,882,98%
40,1131,96%,0,100%,1395,99%,mcs2x1,1478,98%
40,584,61%,0,100%,2658,100%,mcs4x1,2460,97%
40,553,63%,0,100%,1523,100%,mcs4x1,1562,97%
