5,1230,60%,0,100%,65535,0%,mcs2x1,3577,98%
5,65535,0%,0,100%,1063,100%,mcs2x1,1079,98%
5,65535,0%,0,100%,7757,93%,mcs2x1,5134,98%
5,38903,3%,0,100%,51605,11%,mcs4x1,57884,15%
5,1014,67%,0,100%,65535,0%,mcs2x1,4398,0%
5,953,69%,0,100%,2827,94%,mcs2x1,2279,90%
5,3761,94%,0,100%,7044,87%,mcs2x1,5150,90%
5,5034,89%,0,100%,8731,80%,mcs2x1,5438,90%
5,2063,98%,0,100%,4453,71%,mcs2x1,3375,96%
5,1014,67%,0,100%,65535,0%,mcs2x1,3187,98%
5,65535,0%,0,100%,9877,93%,mcs2x1,6164,90%
5,2665,94%,0,100%,3808,70%,mcs2x1,3520,88%
5,2794,98%,0,100%,6645,92%,mcs2x1,4817,98%
5,2837,92%,0,100%,3670,89%,mcs2x1,3357,98%
5,65535,0%,0,100%,2595,87%,mcs2x1,65535,0%
10,2276,95%,0,100%,3695,91%,mcs2x1,3017,98%
10,1393,95%,0,100%,1446,98%,mcs2x1,1384,98%
10,615,83%,0,100%,65535,0%,mcs2x1,65535,0%
10,1592,96%,0,100%,2511,94%,mcs2x1,2154,99%
10,932,98%,0,100%,1474,87%,mcs2x1,1299,100%
10,935,97%,0,100%,1081,98%,mcs2x1,1273,93%
10,1351,92%,0,100%,1487,97%,mcs2x1,1143,98%
10,1231,94%,0,100%,1536,78%,mcs2x1,65535,0%
10,696,99%,0,100%,922,98%,mcs2x1,1016,100%
10,875,99%,0,100%,1321,98%,mcs2x1,1329,100%
10,2652,95%,0,100%,3375,94%,mcs2x1,2912,96%
10,830,74%,0,100%,9863,96%,mcs2x1,7854,98%
10,1888,93%,0,100%,2323,96%,mcs2x1,2058,99%
10,1272,98%,0,100%,1921,96%,mcs2x1,1825,99%
10,2542,90%,0,100%,2784,96%,mcs2x1,2473,96%
20,768,77%,0,100%,3756,93%,mcs2x1,3652,94%
20,1415,98%,0,100%,3202,91%,mcs2x1,2496,99%
20,1112,99%,0,100%,2090,96%,mcs2x1,1841,98%
20,860,98%,0,100%,1395,97%,mcs2x1,1411,97%
20,1097,99%,0,100%,1883,96%,mcs2x1,1780,98%
20,1233,96%,0,100%,1806,95%,mcs2x1,1425,98%
20,1407,98%,0,100%,3740,92%,mcs2x1,2520,99%
20,1180,98%,0,100%,3178,91%,mcs2x1,2028,98%
20,1744,95%,0,100%,3225,84%,mcs2x1,2034,99%
20,768,76%,0,100%,39955,49%,mcs2x1,15635,94%
20,1527,98%,0,100%,1503,97%,mcs2x1,1423,99%
20,861,72%,0,100%,1982,98%,mcs2x1,1707,98%
20,1047,97%,0,100%,2010,96%,mcs2x1,1319,99%
20,1871,98%,0,100%,1671,99%,mcs2x1,2097,92%
20,578,99%,0,100%,855,98%,mcs2x1,722,97%
30,982,98%,0,100%,1386,95%,mcs2x1,1451,94%
30,615,83%,0,100%,945,99%,mcs2x1,1151,97%
30,747,99%,0,100%,1161,97%,mcs2x1,1111,100%
30,925,98%,0,100%,1376,97%,mcs2x1,1191,100%
30,4611,95%,0,100%,9996,90%,mcs2x1,7513,81%
30,974,98%,0,100%,1742,96%,mcs2x1,1529,99%
30,671,99%,0,100%,894,99%,mcs2x1,939,99%
30,1477,95%,0,100%,1597,98%,mcs2x1,1788,96%
30,2348,99%,0,100%,2348,94%,mcs2x1,2293,98%
30,1104,98%,0,100%,1817,97%,mcs2x1,2059,98%
30,806,99%,0,100%,1195,97%,mcs2x1,1191,98%
30,861,97%,0,100%,1080,98%,mcs2x1,1009,99%
30,663,99%,0,100%,865,98%,mcs2x1,930,99%
30,698,99%,0,100%,957,98%,mcs2x1,1037,98%
30,1260,97%,0,100%,1720,98%,mcs2x1,1918,89%
40,6578,76%,0,100%,2655,90%,mcs2x1,5747,71%
40,799,75%,0,100%,4449,94%,mcs2x1,3281,99%
40,3609,92%,0,100%,4100,96%,mcs2x1,3929,96%
40,1006,97%,0,100%,1277,98%,mcs2x1,1258,99%
40,707,79%,0,100%,2878,94%,mcs2x1,2603,98%
40,645,82%,0,100%,921,99%,mcs2x1,952,99%
40,6327,81%,0,100%,11385,65%,mcs2x1,5412,86%
40,7603,96%,0,100%,16882,75%,mcs2x1,12194,94%
40,707,79%,0,100%,2014,93%,mcs2x1,1458,99%
40,861,72%,0,100%,2985,98%,mcs2x1,4230,99%
40,1934,92%,0,100%,2285,95%,mcs2x1,1949,98%
40,1419,96%,0,100%,1832,89%,mcs2x1,2990,77%
40,1520,96%,0,100%,2221,95%,mcs2x1,1949,92%
40,1504,98%,0,100%,2732,95%,mcs2x1,2368,99%
40,1845,88%,0,100%,65535,0%,mcs2x1,2104,69%
