50,202,99%,0,100%,186,98%
50,234,100%,0,100%,233,100%
50,242,100%,0,100%,244,100%
50,205,99%,0,100%,218,100%
50,201,100%,0,100%,182,96%
50,211,100%,0,100%,188,97%
50,208,100%,0,100%,187,97%
50,201,100%,0,100%,168,97%
50,190,100%,0,100%,142,99%
50,240,100%,0,100%,239,100%
50,238,100%,0,100%,242,100%
50,235,100%,0,100%,237,96%
50,211,99%,0,100%,205,95%
50,194,100%,0,100%,149,98%
50,232,98%,0,100%,207,95%
60,257,96%,0,100%,236,99%
60,215,100%,0,100%,227,100%
60,221,98%,0,100%,207,100%
60,209,100%,0,100%,214,100%
60,342,100%,0,100%,214,99%
60,384,100%,0,100%,301,100%
60,302,94%,0,100%,271,100%
60,268,96%,0,100%,232,100%
60,365,100%,0,100%,260,100%
60,395,100%,0,100%,309,100%
60,258,98%,0,100%,249,100%
60,237,99%,0,100%,240,100%
60,298,97%,0,100%,263,100%
60,232,100%,0,100%,226,100%
60,372,100%,0,100%,285,91%
70,471,92%,0,100%,436,97%
70,463,97%,0,100%,430,93%
70,768,77%,0,100%,338,96%
70,720,92%,0,100%,735,74%
70,964,91%,0,100%,821,90%
70,661,57%,0,100%,3968,0%
70,707,80%,0,100%,3309,65%
70,1270,89%,0,100%,1640,74%
70,1028,87%,0,100%,843,95%
70,676,80%,0,100%,3920,4%
70,767,90%,0,100%,645,83%
70,513,97%,0,100%,888,78%
70,458,99%,0,100%,519,99%
70,556,98%,0,100%,781,92%
70,443,98%,0,100%,474,98%
80,830,74%,0,100%,3339,50%
80,660,83%,0,100%,3123,2%
80,547,98%,0,100%,731,93%
80,476,100%,0,100%,479,100%
80,639,97%,0,100%,645,83%
80,768,76%,0,100%,521,98%
80,627,97%,0,100%,594,98%
80,484,98%,0,100%,509,99%
80,479,100%,0,100%,483,100%
80,485,100%,0,100%,489,100%
80,522,98%,0,100%,480,100%
80,492,90%,0,100%,685,96%
80,457,98%,0,100%,479,99%
80,449,99%,0,100%,467,100%
80,532,98%,0,100%,651,96%
90,698,98%,0,100%,796,96%
90,488,100%,0,100%,494,100%
90,553,86%,0,100%,800,96%
90,720,98%,0,100%,1029,97%
90,570,98%,0,100%,565,96%
90,584,85%,0,100%,546,95%
90,1144,95%,0,100%,1287,90%
90,2015,93%,0,100%,2026,91%
90,516,98%,0,100%,466,96%
90,768,77%,0,100%,1358,92%
90,669,98%,0,100%,745,96%
90,1193,95%,0,100%,1368,86%
90,545,99%,0,100%,620,98%
90,1014,67%,0,100%,601,97%
90,2068,84%,0,100%,2060,64%
100,1391,84%,0,100%,800,98%
100,5353,76%,0,100%,3837,82%
100,2991,78%,0,100%,1925,93%
100,1633,90%,0,100%,1260,98%
100,3429,86%,0,100%,3573,80%
100,1168,62%,0,100%,492,100%
100,1492,86%,0,100%,1640,65%
100,543,98%,0,100%,511,98%
100,1069,90%,0,100%,655,99%
100,473,98%,0,100%,477,98%
100,478,99%,0,100%,477,99%
100,461,98%,0,100%,448,97%
100,432,99%,0,100%,383,98%
100,1317,96%,0,100%,1698,90%
100,554,98%,0,100%,532,99%
110,501,98%,0,100%,417,98%
110,491,99%,0,100%,504,100%
110,449,96%,0,100%,436,96%
110,402,99%,0,100%,328,100%
110,778,96%,0,100%,661,100%
110,506,98%,0,100%,436,97%
110,629,90%,0,100%,427,98%
110,404,99%,0,100%,328,100%
110,845,95%,0,100%,675,97%
110,936,96%,0,100%,961,96%
110,421,99%,0,100%,363,99%
110,506,98%,0,100%,436,97%
110,730,95%,0,100%,508,99%
110,678,96%,0,100%,533,99%
110,1476,53%,0,100%,65535,0%
120,1082,79%,0,100%,353,79%
120,1070,84%,0,100%,430,93%
120,539,98%,0,100%,501,96%
120,678,97%,0,100%,611,100%
120,665,97%,0,100%,590,99%
120,690,95%,0,100%,449,98%
120,830,95%,0,100%,643,98%
120,1286,92%,0,100%,1062,100%
120,856,95%,0,100%,741,99%
120,758,97%,0,100%,739,100%
120,702,96%,0,100%,550,97%
120,513,98%,0,100%,451,98%
120,512,98%,0,100%,550,100%
120,669,98%,0,100%,740,100%
120,13681,72%,0,100%,10044,75%
130,65535,0%,0,100%,3920,0%
130,1122,92%,0,100%,859,98%
130,42059,6%,0,100%,38154,11%
130,1510,91%,0,100%,1225,92%
130,901,94%,0,100%,654,99%
130,909,90%,0,100%,461,91%
130,761,94%,0,100%,552,99%
130,1330,94%,0,100%,1212,98%
130,670,96%,0,100%,499,98%
130,1275,86%,0,100%,960,97%
130,1528,78%,0,100%,676,81%
130,1443,56%,0,100%,492,90%
130,2757,1%,0,100%,801,53%
130,1650,87%,0,100%,1116,99%
130,1251,87%,0,100%,782,99%
140,1229,93%,0,100%,979,96%
140,65535,0%,0,100%,65535,0%
140,2894,69%,0,100%,1452,94%
140,1281,76%,0,100%,430,92%
140,1381,90%,0,100%,982,99%
140,909,93%,0,100%,669,99%
140,2010,82%,0,100%,1264,97%
140,1265,85%,0,100%,675,98%
140,1623,89%,0,100%,1260,95%
140,4809,72%,0,100%,3094,79%
140,829,96%,0,100%,739,100%
140,2156,69%,0,100%,891,71%
140,762,96%,0,100%,643,99%
140,964,93%,0,100%,742,100%
140,1490,83%,0,100%,839,98%
